timestamp_ms,temperature_c,pressure_kpa,pressure_voltage,vibration_raw,vibration_level,current_a,label
196418,29.44,0.95,0.591,2984,2.984,0.389,GOOD
197074,29.50,0.93,0.591,3112,3.112,0.333,GOOD
197731,29.50,1.00,0.601,3242,3.242,0.383,GOOD
198387,29.50,1.29,0.628,7876,7.876,0.329,GOOD
199043,29.50,0.91,0.594,9806,9.807,0.383,GOOD
199699,29.50,0.88,0.584,3099,3.100,0.311,GOOD
200355,29.50,0.98,0.595,3099,3.100,0.334,GOOD
201011,29.50,0.98,0.606,8563,8.564,0.401,GOOD
201668,29.50,0.84,0.583,2954,2.954,0.371,GOOD
202324,29.50,0.94,0.590,3283,3.283,0.376,GOOD
202980,29.50,1.00,0.606,3015,3.015,0.342,GOOD
203637,29.50,0.77,0.582,3271,3.272,0.395,GOOD
204293,29.50,1.07,0.610,3339,3.340,0.396,GOOD
204949,29.50,1.13,0.613,17583,17.584,0.324,GOOD
205605,29.50,0.77,0.579,3258,3.259,0.331,GOOD
206262,29.50,1.00,0.600,2934,2.935,0.401,GOOD
206918,29.50,0.80,0.581,2854,2.854,0.374,GOOD
207574,29.50,1.01,0.606,3542,3.543,0.325,GOOD
208230,29.50,0.94,0.595,3383,3.383,0.344,GOOD
208887,29.50,0.68,0.572,2773,2.774,0.359,GOOD
209543,29.56,0.93,0.603,3021,3.022,0.385,GOOD
210199,29.50,0.96,0.597,14980,14.980,0.353,GOOD
210855,29.50,1.00,0.599,3407,3.407,0.395,GOOD
211512,29.50,1.04,0.609,3348,3.349,0.393,GOOD
212168,29.50,0.71,0.564,2956,2.956,0.362,GOOD
212824,29.50,0.93,0.593,3186,3.186,0.333,GOOD
213480,29.50,1.00,0.604,3302,3.302,0.321,GOOD
214136,29.50,0.97,0.604,3473,3.474,0.406,GOOD
214793,29.50,0.97,0.595,14321,14.322,0.308,GOOD
215449,29.50,0.99,0.603,3317,3.318,0.307,GOOD
216105,29.50,1.06,0.603,2916,2.916,0.394,GOOD
216762,29.50,0.90,0.590,3219,3.220,0.382,GOOD
217418,29.50,1.02,0.605,3219,3.220,0.348,GOOD
